NOMESIGMAI,NOMESIG,NOME,UF,GEOCODIGO,LATITUDE,LATITUDEGM,LONGITUDE,LONGITUDEG,RGINT,RGI
SEVERIANO MELORN,Severiano MeloRN,Severiano Melo,RN,"2413607",-5.7774,5° 46' 38.64'' S,-37.95718,37° 57' 25.84'' O,Mossoró,Mossoró
SÍTIO NOVORN,Sítio NovoRN,Sítio Novo,RN,"2413706",-6.1039577,6° 6' 14.25'' S,-35.911076,35° 54' 39.87'' O,Natal,Santa Cruz
TABOLEIRO GRANDERN,Taboleiro GrandeRN,Taboleiro Grande,RN,"2413805",-5.9301786,5° 55' 48.64'' S,-38.04451,38° 2' 40.24'' O,Mossoró,Pau dos Ferros
TAIPURN,TaipuRN,Taipu,RN,"2413904",-5.6253743,5° 37' 31.35'' S,-35.59878,35° 35' 55.62'' O,Natal,Natal
TANGARÁRN,TangaráRN,Tangará,RN,"2414001",-6.1975913,6° 11' 51.33'' S,-35.800323,35° 48' 1.16'' O,Natal,Santa Cruz
TENENTE ANANIASRN,Tenente AnaniasRN,Tenente Ananias,RN,"2414100",-6.4676538,6° 28' 3.55'' S,-38.179386,38° 10' 45.79'' O,Mossoró,Pau dos Ferros
TENENTE LAURENTINO CRUZRN,Tenente Laurentino CruzRN,Tenente Laurentino Cruz,RN,"2414159",-6.148053,6° 8' 52.99'' S,-36.717434,36° 43' 2.76'' O,Caicó,Currais Novos
TIBAU DO SULRN,Tibau do SulRN,Tibau do Sul,RN,"2414209",-6.187376,6° 11' 14.55'' S,-35.092113,35° 5' 31.61'' O,Natal,Canguaretama
TIMBAÚBA DOS BATISTASRN,Timbaúba dos BatistasRN,Timbaúba dos Batistas,RN,"2414308",-6.462453,6° 27' 44.83'' S,-37.273308,37° 16' 23.91'' O,Caicó,Caicó
TOUROSRN,TourosRN,Touros,RN,"2414407",-5.199324,5° 11' 57.57'' S,-35.45975,35° 27' 35.11'' O,Natal,Natal
TRIUNFO POTIGUARRN,Triunfo PotiguarRN,Triunfo Potiguar,RN,"2414456",-5.8665094,5° 51' 59.43'' S,-37.188393,37° 11' 18.22'' O,Mossoró,Açu
UMARIZALRN,UmarizalRN,Umarizal,RN,"2414506",-5.99131,5° 59' 28.72'' S,-37.812767,37° 48' 45.96'' O,Mossoró,Pau dos Ferros
UPANEMARN,UpanemaRN,Upanema,RN,"2414605",-5.642807,5° 38' 34.11'' S,-37.25812,37° 15' 29.24'' O,Mossoró,Mossoró
VÁRZEARN,VárzeaRN,Várzea,RN,"2414704",-6.346111,6° 20' 46.0'' S,-35.374653,35° 22' 28.75'' O,Natal,Santo Antônio - Passa e Fica - Nova Cruz
VENHA-VERRN,Venha-VerRN,Venha-Ver,RN,"2414753",-6.3242226,6° 19' 27.2'' S,-38.48738,38° 29' 14.57'' O,Mossoró,Pau dos Ferros
VERA CRUZRN,Vera CruzRN,Vera Cruz,RN,"2414803",-6.047305,6° 2' 50.3'' S,-35.429108,35° 25' 44.79'' O,Natal,Natal
VIÇOSARN,ViçosaRN,Viçosa,RN,"2414902",-5.9942384,5° 59' 39.26'' S,-37.945225,37° 56' 42.81'' O,Mossoró,Pau dos Ferros
VILA FLORRN,Vila FlorRN,Vila Flor,RN,"2415008",-6.313835,6° 18' 49.81'' S,-35.076332,35° 4' 34.8'' O,Natal,Canguaretama
ÁGUA BRANCAPB,Água BrancaPB,Água Branca,PB,"2500106",-7.515197,7° 30' 54.71'' S,-37.640247,37° 38' 24.89'' O,Patos,Patos
AGUIARPB,AguiarPB,Aguiar,PB,"2500205",-7.091302,7° 5' 28.69'' S,-38.17179,38° 10' 18.45'' O,Patos,Itaporanga
ALAGOA GRANDEPB,Alagoa GrandePB,Alagoa Grande,PB,"2500304",-7.0411153,7° 2' 28.01'' S,-35.62714,35° 37' 37.71'' O,Campina Grande,Campina Grande
ALAGOA NOVAPB,Alagoa NovaPB,Alagoa Nova,PB,"2500403",-7.0607567,7° 3' 38.72'' S,-35.763905,35° 45' 50.06'' O,Campina Grande,Campina Grande
ALAGOINHAPB,AlagoinhaPB,Alagoinha,PB,"2500502",-6.9512653,6° 57' 4.55'' S,-35.546318,35° 32' 46.75'' O,João Pessoa,Guarabira
