NOMESIGMAI,NOMESIG,NOME,UF,GEOCODIGO,LATITUDE,LATITUDEGM,LONGITUDE,LONGITUDEG,RGINT,RGI
ARRAIAL DO CABORJ,Arraial do CaboRJ,Arraial do Cabo,RJ,"3300258",-22.969278,22° 58' 9.4'' S,-42.028458,42° 1' 42.45'' O,Macaé - Rio das Ostras - Cabo Frio,Cabo Frio
BARRA DO PIRAÍRJ,Barra do PiraíRJ,Barra do Piraí,RJ,"3300308",-22.46082,22° 27' 38.95'' S,-43.81911,43° 49' 8.81'' O,Volta Redonda - Barra Mansa,Volta Redonda - Barra Mansa
BARRA MANSARJ,Barra MansaRJ,Barra Mansa,RJ,"3300407",-22.529806,22° 31' 47.3'' S,-44.1838,44° 11' 1.68'' O,Volta Redonda - Barra Mansa,Volta Redonda - Barra Mansa
BELFORD ROXORJ,Belford RoxoRJ,Belford Roxo,RJ,"3300456",-22.736183,22° 44' 10.26'' S,-43.377106,43° 22' 37.58'' O,Rio de Janeiro,Rio de Janeiro
BOM JARDIMRJ,Bom JardimRJ,Bom Jardim,RJ,"3300506",-22.160316,22° 9' 37.14'' S,-42.41924,42° 25' 9.26'' O,Petrópolis,Nova Friburgo
BOM JESUS DO ITABAPOANARJ,Bom Jesus do ItabapoanaRJ,Bom Jesus do Itabapoana,RJ,"3300605",-21.137478,21° 8' 14.92'' S,-41.678455,41° 40' 42.44'' O,Campos dos Goytacazes,Itaperuna
CABO FRIORJ,Cabo FrioRJ,Cabo Frio,RJ,"3300704",-22.882467,22° 52' 56.88'' S,-42.020535,42° 1' 13.92'' O,Macaé - Rio das Ostras - Cabo Frio,Cabo Frio
CACHOEIRAS DE MACACURJ,Cachoeiras de MacacuRJ,Cachoeiras de Macacu,RJ,"3300803",-22.466564,22° 27' 59.63'' S,-42.65379,42° 39' 13.64'' O,Rio de Janeiro,Rio Bonito
CAMBUCIRJ,CambuciRJ,Cambuci,RJ,"3300902",-21.575317,21° 34' 31.15'' S,-41.913906,41° 54' 50.07'' O,Campos dos Goytacazes,Santo Antônio de Pádua
CARAPEBUSRJ,CarapebusRJ,Carapebus,RJ,"3300936",-22.184048,22° 11' 2.57'' S,-41.66035,41° 39' 37.26'' O,Macaé - Rio das Ostras - Cabo Frio,Macaé - Rio das Ostras
COMENDADOR LEVY GASPARIANRJ,Comendador Levy GasparianRJ,Comendador Levy Gasparian,RJ,"3300951",-22.034632,22° 2' 4.67'' S,-43.22108,43° 13' 15.89'' O,Petrópolis,Três Rios - Paraíba do Sul
CAMPOS DOS GOYTACAZESRJ,Campos dos GoytacazesRJ,Campos dos Goytacazes,RJ,"3301009",-21.762924,21° 45' 46.53'' S,-41.312084,41° 18' 43.51'' O,Campos dos Goytacazes,Campos dos Goytacazes
CANTAGALORJ,CantagaloRJ,Cantagalo,RJ,"3301108",-21.983866,21° 59' 1.92'' S,-42.37001,42° 22' 12.03'' O,Petrópolis,Nova Friburgo
CARDOSO MOREIRARJ,Cardoso MoreiraRJ,Cardoso Moreira,RJ,"3301157",-21.492834,21° 29' 34.2'' S,-41.614265,41° 36' 51.36'' O,Campos dos Goytacazes,Campos dos Goytacazes
CARMORJ,CarmoRJ,Carmo,RJ,"3301207",-21.933681,21° 56' 1.26'' S,-42.608303,42° 36' 29.9'' O,Petrópolis,Nova Friburgo
CASIMIRO DE ABREURJ,Casimiro de AbreuRJ,Casimiro de Abreu,RJ,"3301306",-22.484148,22° 29' 2.93'' S,-42.199627,42° 11' 58.66'' O,Macaé - Rio das Ostras - Cabo Frio,Macaé - Rio das Ostras
CONCEIÇÃO DE MACABURJ,Conceição de MacabuRJ,Conceição de Macabu,RJ,"3301405",-22.0816,22° 4' 53.76'' S,-41.871967,41° 52' 19.09'' O,Macaé - Rio das Ostras - Cabo Frio,Macaé - Rio das Ostras
CORDEIRORJ,CordeiroRJ,Cordeiro,RJ,"3301504",-22.02772,22° 1' 39.79'' S,-42.363934,42° 21' 50.16'' O,Petrópolis,Nova Friburgo
DUAS BARRASRJ,Duas BarrasRJ,Duas Barras,RJ,"3301603",-22.052261,22° 3' 8.14'' S,-42.520824,42° 31' 14.97'' O,Petrópolis,Nova Friburgo
DUQUE DE CAXIASRJ,Duque de CaxiasRJ,Duque de Caxias,RJ,"3301702",-22.701195,22° 42' 4.3'' S,-43.27447,43° 16' 28.1'' O,Rio de Janeiro,Rio de Janeiro
ENGENHEIRO PAULO DE FRONTINRJ,Engenheiro Paulo de FrontinRJ,Engenheiro Paulo de Frontin,RJ,"3301801",-22.549618,22° 32' 58.62'' S,-43.675133,43° 40' 30.48'' O,Volta Redonda - Barra Mansa,Volta Redonda - Barra Mansa
GUAPIMIRIMRJ,GuapimirimRJ,Guapimirim,RJ,"3301850",-22.541162,22° 32' 28.19'' S,-42.982025,42° 58' 55.28'' O,Rio de Janeiro,Rio de Janeiro
IGUABA GRANDERJ,Iguaba GrandeRJ,Iguaba Grande,RJ,"3301876",-22.837185,22° 50' 13.87'' S,-42.224033,42° 13' 26.52'' O,Macaé - Rio das Ostras - Cabo Frio,Cabo Frio
ITABORAÍRJ,ItaboraíRJ,Itaboraí,RJ,"3301900",-22.753319,22° 45' 11.94'' S,-42.888763,42° 53' 19.55'' O,Rio de Janeiro,Rio de Janeiro
ITAGUAÍRJ,ItaguaíRJ,Itaguaí,RJ,"3302007",-22.867008,22° 52' 1.23'' S,-43.78443,43° 47' 3.95'' O,Rio de Janeiro,Rio de Janeiro
ITALVARJ,ItalvaRJ,Italva,RJ,"3302056",-21.427235,21° 25' 38.05'' S,-41.69336,41° 41' 36.1'' O,Campos dos Goytacazes,Campos dos Goytacazes
ITAOCARARJ,ItaocaraRJ,Itaocara,RJ,"3302106",-21.67163,21° 40' 17.87'' S,-42.080757,42° 4' 50.73'' O,Campos dos Goytacazes,Santo Antônio de Pádua
ITAPERUNARJ,ItaperunaRJ,Itaperuna,RJ,"3302205",-21.20299,21° 12' 10.77'' S,-41.89379,41° 53' 37.65'' O,Campos dos Goytacazes,Itaperuna
ITATIAIARJ,ItatiaiaRJ,Itatiaia,RJ,"3302254",-22.491388,22° 29' 29.0'' S,-44.566532,44° 33' 59.52'' O,Volta Redonda - Barra Mansa,Resende
JAPERIRJ,JaperiRJ,Japeri,RJ,"3302270",-22.647696,22° 38' 51.71'' S,-43.653263,43° 39' 11.75'' O,Rio de Janeiro,Rio de Janeiro
LAJE DO MURIAÉRJ,Laje do MuriaéRJ,Laje do Muriaé,RJ,"3302304",-21.207214,21° 12' 25.97'' S,-42.122166,42° 7' 19.8'' O,Campos dos Goytacazes,Itaperuna
MACAÉRJ,MacaéRJ,Macaé,RJ,"3302403",-22.373083,22° 22' 23.1'' S,-41.781418,41° 46' 53.1'' O,Macaé - Rio das Ostras - Cabo Frio,Macaé - Rio das Ostras
MACUCORJ,MacucoRJ,Macuco,RJ,"3302452",-21.981672,21° 58' 54.02'' S,-42.25196,42° 15' 7.06'' O,Petrópolis,Nova Friburgo
MAGÉRJ,MagéRJ,Magé,RJ,"3302502",-22.659214,22° 39' 33.17'' S,-43.039448,43° 2' 22.01'' O,Rio de Janeiro,Rio de Janeiro
MANGARATIBARJ,MangaratibaRJ,Mangaratiba,RJ,"3302601",-22.941814,22° 56' 30.53'' S,-44.040535,44° 2' 25.93'' O,Rio de Janeiro,Rio de Janeiro
MARICÁRJ,MaricáRJ,Maricá,RJ,"3302700",-22.915869,22° 54' 57.13'' S,-42.826454,42° 49' 35.24'' O,Rio de Janeiro,Rio de Janeiro
MENDESRJ,MendesRJ,Mendes,RJ,"3302809",-22.522413,22° 31' 20.69'' S,-43.738014,43° 44' 16.85'' O,Volta Redonda - Barra Mansa,Volta Redonda - Barra Mansa
MESQUITARJ,MesquitaRJ,Mesquita,RJ,"3302858",-22.794329,22° 47' 39.58'' S,-43.4325,43° 25' 56.99'' O,Rio de Janeiro,Rio de Janeiro
MIGUEL PEREIRARJ,Miguel PereiraRJ,Miguel Pereira,RJ,"3302908",-22.456238,22° 27' 22.46'' S,-43.469807,43° 28' 11.31'' O,Volta Redonda - Barra Mansa,Valença
MIRACEMARJ,MiracemaRJ,Miracema,RJ,"3303005",-21.411625,21° 24' 41.85'' S,-42.197567,42° 11' 51.23'' O,Campos dos Goytacazes,Santo Antônio de Pádua
NATIVIDADERJ,NatividadeRJ,Natividade,RJ,"3303104",-21.04387,21° 2' 37.94'' S,-41.974518,41° 58' 28.27'' O,Campos dos Goytacazes,Itaperuna
NILÓPOLISRJ,NilópolisRJ,Nilópolis,RJ,"3303203",-22.810364,22° 48' 37.31'' S,-43.414078,43° 24' 50.68'' O,Rio de Janeiro,Rio de Janeiro
NITERÓIRJ,NiteróiRJ,Niterói,RJ,"3303302",-22.891518,22° 53' 29.46'' S,-43.082283,43° 4' 56.22'' O,Rio de Janeiro,Rio de Janeiro
NOVA FRIBURGORJ,Nova FriburgoRJ,Nova Friburgo,RJ,"3303401",-22.292791,22° 17' 34.05'' S,-42.535507,42° 32' 7.82'' O,Petrópolis,Nova Friburgo
NOVA IGUAÇURJ,Nova IguaçuRJ,Nova Iguaçu,RJ,"3303500",-22.744621,22° 44' 40.64'' S,-43.47891,43° 28' 44.07'' O,Rio de Janeiro,Rio de Janeiro
PARACAMBIRJ,ParacambiRJ,Paracambi,RJ,"3303609",-22.609728,22° 36' 35.02'' S,-43.709385,43° 42' 33.78'' O,Rio de Janeiro,Rio de Janeiro
PARAÍBA DO SULRJ,Paraíba do SulRJ,Paraíba do Sul,RJ,"3303708",-22.159918,22° 9' 35.7'' S,-43.293182,43° 17' 35.45'' O,Petrópolis,Três Rios - Paraíba do Sul
PARATYRJ,ParatyRJ,Paraty,RJ,"3303807",-23.219318,23° 13' 9.55'' S,-44.72035,44° 43' 13.25'' O,Rio de Janeiro,Angra dos Reis
PATY DO ALFERESRJ,Paty do AlferesRJ,Paty do Alferes,RJ,"3303856",-22.430763,22° 25' 50.75'' S,-43.42565,43° 25' 32.34'' O,Volta Redonda - Barra Mansa,Valença
PETRÓPOLISRJ,PetrópolisRJ,Petrópolis,RJ,"3303906",-22.517666,22° 31' 3.59'' S,-43.19637,43° 11' 46.92'' O,Petrópolis,Petrópolis
PINHEIRALRJ,PinheiralRJ,Pinheiral,RJ,"3303955",-22.51368,22° 30' 49.24'' S,-44.004353,44° 0' 15.67'' O,Volta Redonda - Barra Mansa,Volta Redonda - Barra Mansa
PIRAÍRJ,PiraíRJ,Piraí,RJ,"3304003",-22.628757,22° 37' 43.52'' S,-43.899353,43° 53' 57.66'' O,Volta Redonda - Barra Mansa,Volta Redonda - Barra Mansa
PORCIÚNCULARJ,PorciúnculaRJ,Porciúncula,RJ,"3304102",-20.967016,20° 58' 1.26'' S,-42.043457,42° 2' 36.45'' O,Campos dos Goytacazes,Itaperuna
PORTO REALRJ,Porto RealRJ,Porto Real,RJ,"3304110",-22.417444,22° 25' 2.8'' S,-44.299374,44° 17' 57.75'' O,Volta Redonda - Barra Mansa,Resende
QUATISRJ,QuatisRJ,Quatis,RJ,"3304128",-22.409447,22° 24' 34.0'' S,-44.261414,44° 15' 41.08'' O,Volta Redonda - Barra Mansa,Resende
QUEIMADOSRJ,QueimadosRJ,Queimados,RJ,"3304144",-22.712801,22° 42' 46.09'' S,-43.56503,43° 33' 54.1'' O,Rio de Janeiro,Rio de Janeiro
QUISSAMÃRJ,QuissamãRJ,Quissamã,RJ,"3304151",-22.107597,22° 6' 27.35'' S,-41.46817,41° 28' 5.41'' O,Macaé - Rio das Ostras - Cabo Frio,Macaé - Rio das Ostras
RESENDERJ,ResendeRJ,Resende,RJ,"3304201",-22.477604,22° 28' 39.37'' S,-44.475636,44° 28' 32.29'' O,Volta Redonda - Barra Mansa,Resende
RIO BONITORJ,Rio BonitoRJ,Rio Bonito,RJ,"3304300",-22.711868,22° 42' 42.72'' S,-42.62887,42° 37' 43.92'' O,Rio de Janeiro,Rio Bonito
RIO CLARORJ,Rio ClaroRJ,Rio Claro,RJ,"3304409",-22.72577,22° 43' 32.77'' S,-44.138012,44° 8' 16.85'' O,Volta Redonda - Barra Mansa,Volta Redonda - Barra Mansa
RIO DAS FLORESRJ,Rio das FloresRJ,Rio das Flores,RJ,"3304508",-22.16838,22° 10' 6.17'' S,-43.58204,43° 34' 55.34'' O,Volta Redonda - Barra Mansa,Valença
RIO DAS OSTRASRJ,Rio das OstrasRJ,Rio das Ostras,RJ,"3304524",-22.523853,22° 31' 25.88'' S,-41.948696,41° 56' 55.3'' O,Macaé - Rio das Ostras - Cabo Frio,Macaé - Rio das Ostras
RIO DE JANEIRORJ,Rio de JaneiroRJ,Rio de Janeiro,RJ,"3304557",-22.91247,22° 54' 44.89'' S,-43.194725,43° 11' 41.01'' O,Rio de Janeiro,Rio de Janeiro
SANTA MARIA MADALENARJ,Santa Maria MadalenaRJ,Santa Maria Madalena,RJ,"3304607",-21.951513,21° 57' 5.45'' S,-42.008953,42° 0' 32.23'' O,Petrópolis,Nova Friburgo
SANTO ANTÔNIO DE PÁDUARJ,Santo Antônio de PáduaRJ,Santo Antônio de Pádua,RJ,"3304706",-21.532644,21° 31' 57.52'' S,-42.19203,42° 11' 31.31'' O,Campos dos Goytacazes,Santo Antônio de Pádua
SÃO FRANCISCO DE ITABAPOANARJ,São Francisco de ItabapoanaRJ,São Francisco de Itabapoana,RJ,"3304755",-21.476168,21° 28' 34.2'' S,-41.10728,41° 6' 26.21'' O,Campos dos Goytacazes,Campos dos Goytacazes
SÃO FIDÉLISRJ,São FidélisRJ,São Fidélis,RJ,"3304805",-21.647064,21° 38' 49.43'' S,-41.75181,41° 45' 6.51'' O,Campos dos Goytacazes,Campos dos Goytacazes
SÃO GONÇALORJ,São GonçaloRJ,São Gonçalo,RJ,"3304904",-22.82307,22° 49' 23.05'' S,-43.018223,43° 1' 5.6'' O,Rio de Janeiro,Rio de Janeiro
SÃO JOÃO DA BARRARJ,São João da BarraRJ,São João da Barra,RJ,"3305000",-21.636742,21° 38' 12.27'' S,-41.04632,41° 2' 46.76'' O,Campos dos Goytacazes,Campos dos Goytacazes
SÃO JOÃO DE MERITIRJ,São João de MeritiRJ,São João de Meriti,RJ,"3305109",-22.785988,22° 47' 9.56'' S,-43.3658,43° 21' 56.88'' O,Rio de Janeiro,Rio de Janeiro
SÃO JOSÉ DE UBÁRJ,São José de UbáRJ,São José de Ubá,RJ,"3305133",-21.360142,21° 21' 36.51'' S,-41.939648,41° 56' 22.73'' O,Campos dos Goytacazes,Itaperuna
SÃO JOSÉ DO VALE DO RIO PRETORJ,São José do Vale do Rio PretoRJ,São José do Vale do Rio Preto,RJ,"3305158",-22.153028,22° 9' 10.9'' S,-42.92478,42° 55' 29.21'' O,Petrópolis,Petrópolis
SÃO PEDRO DA ALDEIARJ,São Pedro da AldeiaRJ,São Pedro da Aldeia,RJ,"3305208",-22.834784,22° 50' 5.22'' S,-42.09957,42° 5' 58.45'' O,Macaé - Rio das Ostras - Cabo Frio,Cabo Frio
SÃO SEBASTIÃO DO ALTORJ,São Sebastião do AltoRJ,São Sebastião do Alto,RJ,"3305307",-21.955744,21° 57' 20.68'' S,-42.135395,42° 8' 7.42'' O,Petrópolis,Nova Friburgo
SAPUCAIARJ,SapucaiaRJ,Sapucaia,RJ,"3305406",-21.995607,21° 59' 44.19'' S,-42.91844,42° 55' 6.39'' O,Petrópolis,Três Rios - Paraíba do Sul
SAQUAREMARJ,SaquaremaRJ,Saquarema,RJ,"3305505",-22.928736,22° 55' 43.45'' S,-42.507458,42° 30' 26.85'' O,Rio de Janeiro,Rio de Janeiro
SEROPÉDICARJ,SeropédicaRJ,Seropédica,RJ,"3305554",-22.744959,22° 44' 41.85'' S,-43.704483,43° 42' 16.14'' O,Rio de Janeiro,Rio de Janeiro
SILVA JARDIMRJ,Silva JardimRJ,Silva Jardim,RJ,"3305604",-22.64806,22° 38' 53.02'' S,-42.399693,42° 23' 58.9'' O,Rio de Janeiro,Rio Bonito
SUMIDOURORJ,SumidouroRJ,Sumidouro,RJ,"3305703",-22.048006,22° 2' 52.82'' S,-42.67383,42° 40' 25.78'' O,Petrópolis,Nova Friburgo
TANGUÁRJ,TanguáRJ,Tanguá,RJ,"3305752",-22.735308,22° 44' 7.11'' S,-42.731594,42° 43' 53.73'' O,Rio de Janeiro,Rio de Janeiro
TERESÓPOLISRJ,TeresópolisRJ,Teresópolis,RJ,"3305802",-22.421696,22° 25' 18.1'' S,-42.96793,42° 58' 4.55'' O,Petrópolis,Petrópolis
TRAJANO DE MORAESRJ,Trajano de MoraesRJ,Trajano de Moraes,RJ,"3305901",-22.063173,22° 3' 47.43'' S,-42.061333,42° 3' 40.8'' O,Petrópolis,Nova Friburgo
TRÊS RIOSRJ,Três RiosRJ,Três Rios,RJ,"3306008",-22.107426,22° 6' 26.73'' S,-43.20525,43° 12' 18.9'' O,Petrópolis,Três Rios - Paraíba do Sul
VALENÇARJ,ValençaRJ,Valença,RJ,"3306107",-22.24359,22° 14' 36.92'' S,-43.704494,43° 42' 16.18'' O,Volta Redonda - Barra Mansa,Valença
VARRE-SAIRJ,Varre-SaiRJ,Varre-Sai,RJ,"3306156",-20.925928,20° 55' 33.34'' S,-41.869568,41° 52' 10.45'' O,Campos dos Goytacazes,Itaperuna
VASSOURASRJ,VassourasRJ,Vassouras,RJ,"3306206",-22.408695,22° 24' 31.31'' S,-43.665833,43° 39' 57.0'' O,Volta Redonda - Barra Mansa,Valença
VOLTA REDONDARJ,Volta RedondaRJ,Volta Redonda,RJ,"3306305",-22.50819,22° 30' 29.49'' S,-44.094185,44° 5' 39.07'' O,Volta Redonda - Barra Mansa,Volta Redonda - Barra Mansa
ADAMANTINASP,AdamantinaSP,Adamantina,SP,"3500105",-21.685041,21° 41' 6.15'' S,-51.07296,51° 4' 22.65'' O,Presidente Prudente,Adamantina - Lucélia
ADOLFOSP,AdolfoSP,Adolfo,SP,"3500204",-21.235,21° 14' 6.0'' S,-49.644,49° 38' 38.4'' O,São José do Rio Preto,São José do Rio Preto
AGUAÍSP,AguaíSP,Aguaí,SP,"3500303",-22.059,22° 3' 32.4'' S,-46.979,46° 58' 44.4'' O,Campinas,São João da Boa Vista
ÁGUAS DA PRATASP,Águas da PrataSP,Águas da Prata,SP,"3500402",-21.937,21° 56' 13.2'' S,-46.717,46° 43' 1.2'' O,Campinas,São João da Boa Vista
ÁGUAS DE LINDÓIASP,Águas de LindóiaSP,Águas de Lindóia,SP,"3500501",-22.476,22° 28' 33.6'' S,-46.633,46° 37' 58.8'' O,Campinas,Amparo
ÁGUAS DE SANTA BÁRBARASP,Águas de Santa BárbaraSP,Águas de Santa Bárbara,SP,"3500550",-22.881,22° 52' 51.6'' S,-49.239,49° 14' 20.4'' O,Sorocaba,Avaré
ÁGUAS DE SÃO PEDROSP,Águas de São PedroSP,Águas de São Pedro,SP,"3500600",-22.599,22° 35' 56.4'' S,-47.876,47° 52' 33.6'' O,Campinas,Piracicaba
AGUDOSSP,AgudosSP,Agudos,SP,"3500709",-22.469,22° 28' 8.4'' S,-48.988,48° 59' 16.8'' O,Bauru,Bauru
ALAMBARISP,AlambariSP,Alambari,SP,"3500758",-23.551,23° 33' 3.6'' S,-47.899,47° 53' 56.4'' O,Sorocaba,Itapetininga
ALFREDO MARCONDESSP,Alfredo MarcondesSP,Alfredo Marcondes,SP,"3500808",-21.953806,21° 57' 13.7'' S,-51.415638,51° 24' 56.29'' O,Presidente Prudente,Presidente Prudente
ALTAIRSP,AltairSP,Altair,SP,"3500907",-20.524,20° 31' 26.4'' S,-49.059,49° 3' 32.4'' O,São José do Rio Preto,São José do Rio Preto
ALTINÓPOLISSP,AltinópolisSP,Altinópolis,SP,"3501004",-21.026,21° 1' 33.6'' S,-47.374,47° 22' 26.4'' O,Ribeirão Preto,Ribeirão Preto
ALTO ALEGRESP,Alto AlegreSP,Alto Alegre,SP,"3501103",-21.581,21° 34' 51.6'' S,-50.164,50° 9' 50.4'' O,Araçatuba,Birigui - Penápolis
ALUMÍNIOSP,AlumínioSP,Alumínio,SP,"3501152",-23.535,23° 32' 6.0'' S,-47.262,47° 15' 43.2'' O,Sorocaba,Sorocaba
ÁLVARES FLORENCESP,Álvares FlorenceSP,Álvares Florence,SP,"3501202",-20.321,20° 19' 15.6'' S,-49.911,49° 54' 39.6'' O,São José do Rio Preto,Votuporanga
ÁLVARES MACHADOSP,Álvares MachadoSP,Álvares Machado,SP,"3501301",-22.079012,22° 4' 44.45'' S,-51.4721,51° 28' 19.56'' O,Presidente Prudente,Presidente Prudente
ÁLVARO DE CARVALHOSP,Álvaro de CarvalhoSP,Álvaro de Carvalho,SP,"3501400",-22.078989,22° 4' 44.36'' S,-49.720737,49° 43' 14.66'' O,Marília,Marília
ALVINLÂNDIASP,AlvinlândiaSP,Alvinlândia,SP,"3501509",-22.444,22° 26' 38.4'' S,-49.763,49° 45' 46.8'' O,Marília,Marília
AMERICANASP,AmericanaSP,Americana,SP,"3501608",-22.739,22° 44' 20.4'' S,-47.331,47° 19' 51.6'' O,Campinas,Campinas
AMÉRICO BRASILIENSESP,Américo BrasilienseSP,Américo Brasiliense,SP,"3501707",-21.724,21° 43' 26.4'' S,-48.102,48° 6' 7.2'' O,Araraquara,Araraquara
AMÉRICO DE CAMPOSSP,Américo de CamposSP,Américo de Campos,SP,"3501806",-20.299,20° 17' 56.4'' S,-49.732,49° 43' 55.2'' O,São José do Rio Preto,Votuporanga
AMPAROSP,AmparoSP,Amparo,SP,"3501905",-22.701,22° 42' 3.6'' S,-46.764,46° 45' 50.4'' O,Campinas,Amparo
ANALÂNDIASP,AnalândiaSP,Analândia,SP,"3502002",-22.126,22° 7' 33.6'' S,-47.663,47° 39' 46.8'' O,Campinas,Rio Claro
ANDRADINASP,AndradinaSP,Andradina,SP,"3502101",-20.896,20° 53' 45.6'' S,-51.379,51° 22' 44.4'' O,Araçatuba,Andradina
ANGATUBASP,AngatubaSP,Angatuba,SP,"3502200",-23.49,23° 29' 24.0'' S,-48.413,48° 24' 46.8'' O,Sorocaba,Itapetininga
ANHEMBISP,AnhembiSP,Anhembi,SP,"3502309",-22.789,22° 47' 20.4'' S,-48.127,48° 7' 37.2'' O,Bauru,Botucatu
ANHUMASSP,AnhumasSP,Anhumas,SP,"3502408",-22.295017,22° 17' 42.06'' S,-51.386993,51° 23' 13.17'' O,Presidente Prudente,Presidente Prudente
APARECIDASP,AparecidaSP,Aparecida,SP,"3502507",-22.847,22° 50' 49.2'' S,-45.23,45° 13' 48.0'' O,São José dos Campos,Guaratinguetá
APARECIDA D'OESTESP,Aparecida d'OesteSP,Aparecida d'Oeste,SP,"3502606",-20.449,20° 26' 56.4'' S,-50.88,50° 52' 48.0'' O,São José do Rio Preto,Jales
APIAÍSP,ApiaíSP,Apiaí,SP,"3502705",-24.509,24° 30' 32.4'' S,-48.843,48° 50' 34.8'' O,Sorocaba,Itapeva
ARAÇARIGUAMASP,AraçariguamaSP,Araçariguama,SP,"3502754",-23.439,23° 26' 20.4'' S,-47.061,47° 3' 39.6'' O,Sorocaba,Sorocaba
ARAÇATUBASP,AraçatubaSP,Araçatuba,SP,"3502804",-21.209,21° 12' 32.4'' S,-50.433,50° 25' 58.8'' O,Araçatuba,Araçatuba
ARAÇOIABA DA SERRASP,Araçoiaba da SerraSP,Araçoiaba da Serra,SP,"3502903",-23.505,23° 30' 18.0'' S,-47.614,47° 36' 50.4'' O,Sorocaba,Sorocaba
ARAMINASP,AraminaSP,Aramina,SP,"3503000",-20.088575,20° 5' 18.87'' S,-47.788242,47° 47' 17.68'' O,Ribeirão Preto,Ituverava
ARANDUSP,AranduSP,Arandu,SP,"3503109",-23.134,23° 8' 2.4'' S,-49.054,49° 3' 14.4'' O,Sorocaba,Avaré
ARAPEÍSP,ArapeíSP,Arapeí,SP,"3503158",-22.673594,22° 40' 24.93'' S,-44.448074,44° 26' 53.06'' O,São José dos Campos,Cruzeiro
ARARAQUARASP,AraraquaraSP,Araraquara,SP,"3503208",-21.794,21° 47' 38.4'' S,-48.176,48° 10' 33.6'' O,Araraquara,Araraquara
ARARASSP,ArarasSP,Araras,SP,"3503307",-22.357,22° 21' 25.2'' S,-47.384,47° 23' 2.4'' O,Campinas,Araras
ARCO-ÍRISSP,Arco-ÍrisSP,Arco-Íris,SP,"3503356",-21.773,21° 46' 22.8'' S,-50.465,50° 27' 54.0'' O,Marília,Tupã
AREALVASP,ArealvaSP,Arealva,SP,"3503406",-22.029,22° 1' 44.4'' S,-48.911,48° 54' 39.6'' O,Bauru,Bauru
AREIASSP,AreiasSP,Areias,SP,"3503505",-22.580633,22° 34' 50.28'' S,-44.695896,44° 41' 45.23'' O,São José dos Campos,Cruzeiro
AREIÓPOLISSP,AreiópolisSP,Areiópolis,SP,"3503604",-22.668,22° 40' 4.8'' S,-48.665,48° 39' 54.0'' O,Bauru,Botucatu
ARIRANHASP,AriranhaSP,Ariranha,SP,"3503703",-21.188,21° 11' 16.8'' S,-48.787,48° 47' 13.2'' O,São José do Rio Preto,Catanduva
ARTUR NOGUEIRASP,Artur NogueiraSP,Artur Nogueira,SP,"3503802",-22.573,22° 34' 22.8'' S,-47.173,47° 10' 22.8'' O,Campinas,Campinas
ARUJÁSP,ArujáSP,Arujá,SP,"3503901",-23.389086,23° 23' 20.71'' S,-46.318222,46° 19' 5.6'' O,São Paulo,São Paulo
ASPÁSIASP,AspásiaSP,Aspásia,SP,"3503950",-20.159,20° 9' 32.4'' S,-50.727,50° 43' 37.2'' O,São José do Rio Preto,Jales
ASSISSP,AssisSP,Assis,SP,"3504008",-22.662,22° 39' 43.2'' S,-50.412,50° 24' 43.2'' O,Marília,Assis
ATIBAIASP,AtibaiaSP,Atibaia,SP,"3504107",-23.117,23° 7' 1.2'' S,-46.55,46° 33' 0.0'' O,Campinas,Bragança Paulista
AURIFLAMASP,AuriflamaSP,Auriflama,SP,"3504206",-20.686,20° 41' 9.6'' S,-50.555,50° 33' 18.0'' O,Araçatuba,Araçatuba
AVAÍSP,AvaíSP,Avaí,SP,"3504305",-22.157116,22° 9' 25.62'' S,-49.331062,49° 19' 51.82'' O,Bauru,Bauru
AVANHANDAVASP,AvanhandavaSP,Avanhandava,SP,"3504404",-21.461,21° 27' 39.6'' S,-49.95,49° 57' 0.0'' O,Araçatuba,Birigui - Penápolis
AVARÉSP,AvaréSP,Avaré,SP,"3504503",-23.099,23° 5' 56.4'' S,-48.926,48° 55' 33.6'' O,Sorocaba,Avaré
BADY BASSITTSP,Bady BassittSP,Bady Bassitt,SP,"3504602",-20.918,20° 55' 4.8'' S,-49.445,49° 26' 42.0'' O,São José do Rio Preto,São José do Rio Preto
BALBINOSSP,BalbinosSP,Balbinos,SP,"3504701",-21.9,21° 53' 60.0'' S,-49.357,49° 21' 25.2'' O,Bauru,Bauru
BÁLSAMOSP,BálsamoSP,Bálsamo,SP,"3504800",-20.735,20° 44' 6.0'' S,-49.584,49° 35' 2.4'' O,São José do Rio Preto,São José do Rio Preto
BANANALSP,BananalSP,Bananal,SP,"3504909",-22.681086,22° 40' 51.91'' S,-44.321518,44° 19' 17.47'' O,São José dos Campos,Cruzeiro
BARÃO DE ANTONINASP,Barão de AntoninaSP,Barão de Antonina,SP,"3505005",-23.629143,23° 37' 44.91'' S,-49.563427,49° 33' 48.34'' O,Sorocaba,Itapeva
BARBOSASP,BarbosaSP,Barbosa,SP,"3505104",-21.267,21° 16' 1.2'' S,-49.949,49° 56' 56.4'' O,Araçatuba,Birigui - Penápolis
BARIRISP,BaririSP,Bariri,SP,"3505203",-22.074,22° 4' 26.4'' S,-48.74,48° 44' 24.0'' O,Bauru,Jaú
